Artikel plieger,Omschrijving,min,max,aantal
7541953,Viega Prestabo verloopsok SC verzinkt 22x15mm 558505,5,15,22
"7541918,Viega Prestabo overgangskoppeling SC verzinkt bu.dr. 15mmx1/2""bu 559007,5,15,5"
"7541930,Viega Prestabo overgangskoppeling SC verzinkt bi.dr. 15mmx1/2""bi 559557,5,15,6"
"8405033,Rehau Rautherm HKV-D knelkoppeling 17x2.0mm G3/4"" euroconus 12506071002,5,15,14"
8405896,Rehau Rautitan knelovergang 25x22mm LX+G 13130781001,5,15,0
8405895,Rehau Rautitan knelovergang 20x22mm LX+G 13141191001,5,15,2
8405894,Rehau Rautitan knelovergang 20x15mm LX+G 13141091001,5,15,0
"8405701,Rehau Rautitan knelkoppeling set stabil euroconus 16.2x6xG3/4"" 12664521003,5,15,50"
"8405628,Rehau Rautitan knelkoppeling knie 20RpxG1/2""x15mm LX 11681731001,5,15,4"
"8405629,Rehau Rautitan knelkoppeling knie 20RpxW1 1/8""x22mm LX 11681741001,5,15,12"
"7541933,Viega Prestabo overgangskoppeling SC verzinkt bi.dr. 22mmx3/4""bi 559113,5,15,10"
"8405858,Rehau Rautitan overgangskoppeling m. buitendraad 16mmxR1/2"" LX+G 13129921001,5,15,1"
"8405859,Rehau Rautitan overgangskoppeling m. buitendraad 16mmxR3/4"" LX+G 13129931001,5,15,3"
"8405860,Rehau Rautitan overgangskoppeling m. buitendraad 20mmxR1/2"" LX+G 13129941001,5,15,11"
"8405861,Rehau Rautitan overgangskoppeling m. buitendraad 20mmxR3/4"" LX+G 13129951001,5,15,10"
"7541923,Viega Prestabo overgangskoppeling SC verzinkt bu.dr. 28mmx1""bu 559045,5,15,0"
"8405863,Rehau Rautitan overgangskoppeling m. buitendraad 25mmxR3/4"" LX+G 13129971001,5,15,2"
"8405573,Rehau Rautitan knie-overgang m. buitendraad 16mmxR1/2"" LX 11681611001,5,15,11"
"8405574,Rehau Rautitan knie-overgang m. buitendraad 20mmxR1/2"" LX 11681621001,5,15,0"
"8405575,Rehau Rautitan knie-overgang m. buitendraad 20mmxR3/4"" LX 11681631001,5,15,0"
"7541936,Viega Prestabo overgangskoppeling SC verzinkt bi.dr. 28mmx1""bi 559120,5,15,6"
8405334,Rehau Rautitan T-stuk verloopaftakking en verloopdoorgang 20x16x16mm PX 11600811001,5,15,23
8405344,Rehau Rautitan T-stuk aftakking geëxpandeerd 16x20x16mm PX 11601011001,5,15,11
8405313,Rehau Rautitan schuifhuls 32mm PX 11600041001,10,50,18
8405312,Rehau Rautitan schuifhuls 25mm PX 11600031001,20,100,51
8405311,Rehau Rautitan schuifhuls 20mm PX 11600021001,30,200,143
8405310,Rehau Rautitan schuifhuls 16mm PX 11600011001,30,200,133
8405320,Rehau Rautitan T-stuk verloopaftakking 20x16x20mm PX 11600611001,5,15,22
8405329,Rehau Rautitan T-stuk verloopdoorgang 20x20x16mm PX 11600711001,5,15,13
8405352,Rehau Rautitan rechte koppeling gelijk 32x32mm PX 11600141001,5,15,7
8405351,Rehau Rautitan rechte koppeling gelijk 25x25mm PX 11600131001,5,15,7
8405350,Rehau Rautitan rechte koppeling gelijk 20x20mm PX 11600121001,5,15,6
8405349,Rehau Rautitan rechte koppeling gelijk 16x16mm PX 11600111001,5,15,2
8405322,Rehau Rautitan T-stuk verloopaftakking 25x20x25mm PX 11600631001,5,15,7
8405321,Rehau Rautitan T-stuk verloopaftakking 25x16x25mm PX 11600621001,5,15,16
8405362,Rehau Rautitan knie 90° 32x32mm PX 11600241001,5,15,8
8405361,Rehau Rautitan knie 90° 25x25mm PX 11600231001,5,15,0
8405360,Rehau Rautitan knie 90° 20x20mm PX 11600221001,5,15,34
8405359,Rehau Rautitan knie 90° 16x16mm PX 11600211001,5,15,15
8405338,Rehau Rautitan T-stuk verloopaftakking en verloopdoorgang 25x20x20mm PX 11600851001,5,15,4
8405335,Rehau Rautitan T-stuk verloopaftakking en verloopdoorgang 25x16x16mm PX 11600821001,5,15,6
8405330,Rehau Rautitan T-stuk verloopdoorgang 25x25x16mm PX 11600721001,5,15,2
8405317,Rehau Rautitan T-stuk gelijk 25x25x25mm PX 11600331001,5,15,7
8405316,Rehau Rautitan T-stuk gelijk 20x20x20mm PX 11600321001,5,15,43
8405315,Rehau Rautitan T-stuk gelijk 16x16x16mm PX 11600311001,5,15,3
8405347,Rehau Rautitan T-stuk aftakking geëxpandeerd 20x25x20mm PX 11601041001,5,15,6
8405336,Rehau Rautitan T-stuk verloopaftakking en verloopdoorgang 25x16x20mm PX 11600831001,5,15,3
8405331,Rehau Rautitan T-stuk verloopdoorgang 25x25x20mm PX 11600731001,5,15,5
8405356,Rehau Rautitan rechte koppeling verloop 25x20mm PX 11600431001,5,15,11
8405355,Rehau Rautitan rechte koppeling verloop 25x16mm PX 11600421001,5,15,5
8405354,Rehau Rautitan rechte koppeling verloop 20x16mm PX 11600411001,5,15,22
"8405887,Rehau Rautitan muurplaat laag m. binnendraad 16mmxRp1/2"" LX+G 13130721008,5,15,8"
"8405595,Rehau Rautitan opbouw muurplaat 16mmxRp1/2"" LX 11681401001,5,15,10"
8403080,Rehau Rautitan overgangskoppeling knel-soldeer 25xL22mm RX+ 14562751001,5,15,0
8403074,Rehau Rautitan overgangskoppeling knel-soldeer 20xL22mm RX 14562771001,5,15,4
8404900,Rehau Rautitan overgangskoppeling knel-soldeer 20xL15mm RX 14562781001,5,15,16
8403068,Rehau Rautitan overgangskoppeling knel-soldeer 16xL15mm RX+ 14562731001,5,15,4
"8405516,Rehau Rautitan opbouw T-stuk aftakking m. binnendraad 20xRp1/2""x20mm LX 11681221001,5,15,2"
"8405514,Rehau Rautitan opbouw T-stuk aftakking m. binnendraad 16xRp1/2""x16mm LX 11681211001,5,15,9"
"8405590,Rehau Rautitan muurplaat hoog m. binnendraad 16mmxRp1/2"" LX 11681261008,5,15,4"
"8405631,Rehau Rautitan voorgemonteerde geminibeugel 16xRp1/2""x150mm LX 11681771001,5,15,10"
"8405632,Rehau Rautitan voorgemonteerde geminibeugel 20xRp1/2""x150mm LX 11681781001,5,15,0"
8302923,Honeywell thermische motor 230V NC 4mm MT4230NC,2,4,8
"7501412,""""IMI Heimeier Mikrotherm radiatorafsluiter recht 1/2"" Kvs = 1,61 m3/h 012202500"""",4,8,5"
"7501455,""""IMI Heimeier Regulux voetventiel recht 1/2"" - Kvs = 1,31 m3/h m. Vul- en aftapmogelijkheid 035202000"""",4,10,7"
"4058026,Plieger design afvoerplug vlak m. overloop 5/4"" pop-up chroom PU-120,2,4,4"
7500885,IMI Heimeier Halo thermostaatkop M30x1.5 m. temperatuur vergrendeling wit (RAL9016) 750000500,2,4,3
8302875,Honeywell draadloze RF module aan/uit 24-230V 5A t.b.v. ketelschakeling BDR91A1000,1,2,2
7501546,IMI Heimeier K thermostaatkop M30x1.5 cap. 1.25 m m. afstandsvoeler 600100500,1,1,2
"7501374,""""IMI Heimeier Mikrotherm radiatorafsluiter haaks 1/2"" Kvs = 1,99 m3/h 012102500"""",4,8,2"
"1602102,""IMI Heimeier Regutec voetventiel haaks voetventiel haaks Kvs = 1,74 m3/h 035502000"",4,10,6"
"520069,Plieger designbekersifon verkort rond m. muurbuis 30cm 5/4"" m. rozet chroom 0520069,2,4,1"
7910052,Itho Daalderop bedieningen en benodigdheden RFT-zender W CVE, CVD, HRU wit 5360124,0,0,3
8303539,Honeywell Evohome draadloze radiatorregelaar HR92WE,2,4,1
"7810245,Flamco Flexconsole expansievatbeugel 8-25L 3/4""-1/2"" rood 27910,2,5,7"
7500876,IMI Heimeier DX thermostaatkop RAL9016 M30x1.5 m. energielabel A (Tell) verkeerswit 670000500,5,10,4
"1602209,IMI Heimeier V-exact II thermostatisch ventiel instelbaar recht 1/2"" 371202000,5,10,12"
"440310,Schell Comfort hoekstopkraan m. rozet m. comfort greep 1/2""x10mm m. zelfdichtend schroefdraad-kiwa NF keuring chroom 049170695,6,14,8"
"7972031,Raminex combi-tapkraan m. terugstroomklep 1/2x3/4x3/8"" m. knopbediening 10mm knel 11062,3,6,5"
8303558,Honeywell Evohome tafelstandaard + voedingskabel New ATF800,1,1,1
"7810024,Flamco Prescor overstortventiel 1/2"" bu 3 bar, max. 125kw 27675,2,5,4"
7501562,IMI Heimeier K thermostaatkop M30x1.5 m. energielabel A (Tell) m. ingebouwde voeler standaard 600000500,4,10,1
"1602203,IMI Heimeier V-exact II thermostatisch ventiel instelbaar haaks 1/2"" 371102000,5,10,4"
710328,Geberit vlotterkraan Type 380 impuls 240714001,2,4,2
8303569,Honeywell Evohome voedingsmodule v. wandmontage New ATF600,1,2,3
